,lattitude,longitude,Mon Oct  4 09:02:29 2021,Mon Oct  4 09:03:35 2021,Mon Oct  4 09:04:40 2021,Mon Oct  4 09:05:44 2021,Mon Oct  4 09:06:49 2021,Mon Oct  4 09:07:54 2021,Mon Oct  4 09:08:58 2021,Mon Oct  4 09:10:03 2021,Mon Oct  4 09:11:08 2021,Mon Oct  4 09:12:12 2021,Mon Oct  4 09:13:16 2021,Mon Oct  4 09:14:20 2021,Mon Oct  4 09:15:25 2021,Mon Oct  4 09:16:30 2021,Mon Oct  4 09:17:34 2021,Mon Oct  4 09:18:38 2021,Mon Oct  4 09:19:42 2021,Mon Oct  4 09:20:46 2021,Mon Oct  4 09:21:51 2021,Mon Oct  4 09:22:57 2021,Mon Oct  4 09:24:01 2021,Mon Oct  4 09:25:05 2021,Mon Oct  4 09:26:09 2021,Mon Oct  4 09:27:12 2021,Mon Oct  4 09:28:17 2021,Mon Oct  4 09:29:22 2021,Mon Oct  4 09:30:26 2021,Mon Oct  4 09:31:30 2021,Mon Oct  4 09:32:33 2021,Mon Oct  4 09:33:37 2021,Mon Oct  4 09:34:41 2021,Mon Oct  4 09:35:45 2021,Mon Oct  4 09:36:49 2021,Mon Oct  4 09:37:53 2021,Mon Oct  4 09:38:57 2021,Mon Oct  4 09:40:02 2021,Mon Oct  4 09:41:05 2021,Mon Oct  4 09:42:10 2021,Mon Oct  4 09:43:15 2021,Mon Oct  4 09:44:19 2021,Mon Oct  4 09:45:23 2021,Mon Oct  4 09:46:27 2021,Mon Oct  4 09:47:31 2021,Mon Oct  4 09:48:34 2021,Mon Oct  4 09:49:38 2021,Mon Oct  4 09:50:43 2021,Mon Oct  4 09:51:47 2021,Mon Oct  4 09:52:51 2021,Mon Oct  4 09:53:55 2021,Mon Oct  4 09:55:01 2021,Mon Oct  4 09:56:05 2021,Mon Oct  4 09:57:10 2021,Mon Oct  4 09:58:14 2021,Mon Oct  4 09:59:18 2021,Mon Oct  4 10:00:23 2021,Mon Oct  4 10:01:27 2021,Mon Oct  4 10:02:31 2021,Mon Oct  4 10:03:35 2021,Mon Oct  4 10:04:39 2021,Mon Oct  4 10:05:43 2021,Mon Oct  4 10:06:47 2021,Mon Oct  4 10:07:52 2021,Mon Oct  4 10:08:56 2021,Mon Oct  4 10:10:00 2021,Mon Oct  4 10:11:05 2021,Mon Oct  4 10:12:09 2021,Mon Oct  4 10:13:13 2021,Mon Oct  4 10:14:19 2021,Mon Oct  4 10:15:24 2021,Mon Oct  4 10:16:30 2021
Noble St & Milwaukee Ave,41.90068,-87.6626,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: Noble St & Milwaukee Ave, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Noble St & Milwaukee Ave, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Noble St & Milwaukee Ave, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Noble St & Milwaukee Ave, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Noble St & Milwaukee Ave, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Noble St & Milwaukee Ave, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Noble St & Milwaukee Ave, dtype: int64"
Ashland Ave & Augusta Blvd,41.899643,-87.6677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Ashland Ave & Augusta Blvd, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Ashland Ave & Augusta Blvd, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Ashland Ave & Augusta Blvd, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Ashland Ave & Augusta Blvd, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Ashland Ave & Augusta Blvd, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Ashland Ave & Augusta Blvd, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Ashland Ave & Augusta Blvd, dtype: int64"
Franklin St & Chicago Ave,41.896746,-87.635667,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Franklin St & Chicago Ave, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Franklin St & Chicago Ave, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Franklin St & Chicago Ave, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Franklin St & Chicago Ave, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Franklin St & Chicago Ave, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Franklin St & Chicago Ave, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Franklin St & Chicago Ave, dtype: int64"
Racine Ave & Congress Pkwy,41.87464,-87.65703,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Racine Ave & Congress Pkwy, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Racine Ave & Congress Pkwy, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Racine Ave & Congress Pkwy, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Racine Ave & Congress Pkwy, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Racine Ave & Congress Pkwy, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Racine Ave & Congress Pkwy, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Racine Ave & Congress Pkwy, dtype: int64"
State St & Van Buren St,41.877181,-87.627844,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,11,11,11,11,11,11,11,11,11,11,11,11,"Mon Oct  4 10:10:00 2021    11
Name: State St & Van Buren St, dtype: int64","Mon Oct  4 10:11:05 2021    11
Name: State St & Van Buren St, dtype: int64","Mon Oct  4 10:12:09 2021    11
Name: State St & Van Buren St, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: State St & Van Buren St, dtype: int64","Mon Oct  4 10:14:19 2021    11
Name: State St & Van Buren St, dtype: int64","Mon Oct  4 10:15:24 2021    11
Name: State St & Van Buren St, dtype: int64","Mon Oct  4 10:16:30 2021    11
Name: State St & Van Buren St, dtype: int64"
Cannon Dr & Fullerton Ave,41.926755,-87.634428,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Cannon Dr & Fullerton Ave, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Cannon Dr & Fullerton Ave, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Cannon Dr & Fullerton Ave, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Cannon Dr & Fullerton Ave, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Cannon Dr & Fullerton Ave, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Cannon Dr & Fullerton Ave, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Cannon Dr & Fullerton Ave, dtype: int64"
Streeter Dr & Grand Ave,41.892278,-87.612043,19,19,19,19,19,19,19,20,21,21,21,21,21,21,2,2,2,2,2,9,20,20,20,20,20,20,20,20,20,20,20,18,18,17,17,17,17,17,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,"Mon Oct  4 10:10:00 2021    18
Name: Streeter Dr & Grand Ave, dtype: int64","Mon Oct  4 10:11:05 2021    18
Name: Streeter Dr & Grand Ave, dtype: int64","Mon Oct  4 10:12:09 2021    18
Name: Streeter Dr & Grand Ave, dtype: int64","Mon Oct  4 10:13:13 2021    18
Name: Streeter Dr & Grand Ave, dtype: int64","Mon Oct  4 10:14:19 2021    18
Name: Streeter Dr & Grand Ave, dtype: int64","Mon Oct  4 10:15:24 2021    18
Name: Streeter Dr & Grand Ave, dtype: int64","Mon Oct  4 10:16:30 2021    18
Name: Streeter Dr & Grand Ave, dtype: int64"
Franklin St & Jackson Blvd,41.877707,-87.635321,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,14,14,14,14,14,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,"Mon Oct  4 10:10:00 2021    14
Name: Franklin St & Jackson Blvd, dtype: int64","Mon Oct  4 10:11:05 2021    14
Name: Franklin St & Jackson Blvd, dtype: int64","Mon Oct  4 10:12:09 2021    15
Name: Franklin St & Jackson Blvd, dtype: int64","Mon Oct  4 10:13:13 2021    15
Name: Franklin St & Jackson Blvd, dtype: int64","Mon Oct  4 10:14:19 2021    15
Name: Franklin St & Jackson Blvd, dtype: int64","Mon Oct  4 10:15:24 2021    16
Name: Franklin St & Jackson Blvd, dtype: int64","Mon Oct  4 10:16:30 2021    15
Name: Franklin St & Jackson Blvd, dtype: int64"
Dearborn St & Adams St,41.879356,-87.629791,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,"Mon Oct  4 10:10:00 2021    16
Name: Dearborn St & Adams St, dtype: int64","Mon Oct  4 10:11:05 2021    16
Name: Dearborn St & Adams St, dtype: int64","Mon Oct  4 10:12:09 2021    16
Name: Dearborn St & Adams St, dtype: int64","Mon Oct  4 10:13:13 2021    16
Name: Dearborn St & Adams St, dtype: int64","Mon Oct  4 10:14:19 2021    16
Name: Dearborn St & Adams St, dtype: int64","Mon Oct  4 10:15:24 2021    16
Name: Dearborn St & Adams St, dtype: int64","Mon Oct  4 10:16:30 2021    16
Name: Dearborn St & Adams St, dtype: int64"
Clark St & Lake St,41.88602,-87.630876,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,"Mon Oct  4 10:10:00 2021    12
Name: Clark St & Lake St, dtype: int64","Mon Oct  4 10:11:05 2021    12
Name: Clark St & Lake St, dtype: int64","Mon Oct  4 10:12:09 2021    12
Name: Clark St & Lake St, dtype: int64","Mon Oct  4 10:13:13 2021    12
Name: Clark St & Lake St, dtype: int64","Mon Oct  4 10:14:19 2021    12
Name: Clark St & Lake St, dtype: int64","Mon Oct  4 10:15:24 2021    12
Name: Clark St & Lake St, dtype: int64","Mon Oct  4 10:16:30 2021    12
Name: Clark St & Lake St, dtype: int64"
Wabash Ave & Adams St,41.879472,-87.625688,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,"Mon Oct  4 10:10:00 2021    11
Name: Wabash Ave & Adams St, dtype: int64","Mon Oct  4 10:11:05 2021    11
Name: Wabash Ave & Adams St, dtype: int64","Mon Oct  4 10:12:09 2021    11
Name: Wabash Ave & Adams St, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: Wabash Ave & Adams St, dtype: int64","Mon Oct  4 10:14:19 2021    11
Name: Wabash Ave & Adams St, dtype: int64","Mon Oct  4 10:15:24 2021    11
Name: Wabash Ave & Adams St, dtype: int64","Mon Oct  4 10:16:30 2021    11
Name: Wabash Ave & Adams St, dtype: int64"
LaSalle St & Adams St,41.879344,-87.631985,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,"Mon Oct  4 10:10:00 2021    11
Name: LaSalle St & Adams St, dtype: int64","Mon Oct  4 10:11:05 2021    11
Name: LaSalle St & Adams St, dtype: int64","Mon Oct  4 10:12:09 2021    11
Name: LaSalle St & Adams St, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: LaSalle St & Adams St, dtype: int64","Mon Oct  4 10:14:19 2021    11
Name: LaSalle St & Adams St, dtype: int64","Mon Oct  4 10:15:24 2021    11
Name: LaSalle St & Adams St, dtype: int64","Mon Oct  4 10:16:30 2021    11
Name: LaSalle St & Adams St, dtype: int64"
Federal St & Polk St,41.872077,-87.629543,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Federal St & Polk St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Federal St & Polk St, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Federal St & Polk St, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Federal St & Polk St, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Federal St & Polk St, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Federal St & Polk St, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Federal St & Polk St, dtype: int64"
Wabash Ave & Cermak Rd,41.852619,-87.626488,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Wabash Ave & Cermak Rd, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Wabash Ave & Cermak Rd, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Wabash Ave & Cermak Rd, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Wabash Ave & Cermak Rd, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Wabash Ave & Cermak Rd, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Wabash Ave & Cermak Rd, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Wabash Ave & Cermak Rd, dtype: int64"
Michigan Ave & Washington St,41.883984,-87.624683,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,7,7,8,6,6,5,7,7,7,7,7,7,7,7,7,7,6,6,8,8,8,8,8,8,8,9,"Mon Oct  4 10:10:00 2021    9
Name: Michigan Ave & Washington St, dtype: int64","Mon Oct  4 10:11:05 2021    9
Name: Michigan Ave & Washington St, dtype: int64","Mon Oct  4 10:12:09 2021    11
Name: Michigan Ave & Washington St, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: Michigan Ave & Washington St, dtype: int64","Mon Oct  4 10:14:19 2021    11
Name: Michigan Ave & Washington St, dtype: int64","Mon Oct  4 10:15:24 2021    11
Name: Michigan Ave & Washington St, dtype: int64","Mon Oct  4 10:16:30 2021    11
Name: Michigan Ave & Washington St, dtype: int64"
State St & Randolph St,41.884621,-87.627834,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: State St & Randolph St, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: State St & Randolph St, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: State St & Randolph St, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: State St & Randolph St, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: State St & Randolph St, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: State St & Randolph St, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: State St & Randolph St, dtype: int64"
Michigan Ave & Ida B Wells Dr,41.876243,-87.624426,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,"Mon Oct  4 10:10:00 2021    4
Name: Michigan Ave & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Michigan Ave & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Michigan Ave & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Michigan Ave & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Michigan Ave & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Michigan Ave & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Michigan Ave & Ida B Wells Dr, dtype: int64"
Wells St & Walton St,41.89993,-87.63443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Wells St & Walton St, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Wells St & Walton St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Wells St & Walton St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Wells St & Walton St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Wells St & Walton St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Wells St & Walton St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Wells St & Walton St, dtype: int64"
State St & Kinzie St,41.889187,-87.627754,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,"Mon Oct  4 10:10:00 2021    22
Name: State St & Kinzie St, dtype: int64","Mon Oct  4 10:11:05 2021    22
Name: State St & Kinzie St, dtype: int64","Mon Oct  4 10:12:09 2021    22
Name: State St & Kinzie St, dtype: int64","Mon Oct  4 10:13:13 2021    22
Name: State St & Kinzie St, dtype: int64","Mon Oct  4 10:14:19 2021    22
Name: State St & Kinzie St, dtype: int64","Mon Oct  4 10:15:24 2021    22
Name: State St & Kinzie St, dtype: int64","Mon Oct  4 10:16:30 2021    22
Name: State St & Kinzie St, dtype: int64"
Larrabee St & Kingsbury St,41.897764,-87.642884,28,29,29,28,28,29,29,28,28,28,27,27,27,28,28,28,28,28,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,"Mon Oct  4 10:10:00 2021    29
Name: Larrabee St & Kingsbury St, dtype: int64","Mon Oct  4 10:11:05 2021    29
Name: Larrabee St & Kingsbury St, dtype: int64","Mon Oct  4 10:12:09 2021    29
Name: Larrabee St & Kingsbury St, dtype: int64","Mon Oct  4 10:13:13 2021    29
Name: Larrabee St & Kingsbury St, dtype: int64","Mon Oct  4 10:14:19 2021    29
Name: Larrabee St & Kingsbury St, dtype: int64","Mon Oct  4 10:15:24 2021    29
Name: Larrabee St & Kingsbury St, dtype: int64","Mon Oct  4 10:16:30 2021    29
Name: Larrabee St & Kingsbury St, dtype: int64"
Dearborn St & Monroe St,41.881319,-87.62952,30,31,31,31,31,31,30,31,31,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,35,35,35,35,35,"Mon Oct  4 10:10:00 2021    35
Name: Dearborn St & Monroe St, dtype: int64","Mon Oct  4 10:11:05 2021    35
Name: Dearborn St & Monroe St, dtype: int64","Mon Oct  4 10:12:09 2021    35
Name: Dearborn St & Monroe St, dtype: int64","Mon Oct  4 10:13:13 2021    35
Name: Dearborn St & Monroe St, dtype: int64","Mon Oct  4 10:14:19 2021    35
Name: Dearborn St & Monroe St, dtype: int64","Mon Oct  4 10:15:24 2021    35
Name: Dearborn St & Monroe St, dtype: int64","Mon Oct  4 10:16:30 2021    35
Name: Dearborn St & Monroe St, dtype: int64"
Clark St & Ida B Wells Dr,41.875932,-87.630584,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Clark St & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Clark St & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Clark St & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Clark St & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Clark St & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Clark St & Ida B Wells Dr, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Clark St & Ida B Wells Dr, dtype: int64"
Clark St & Randolph St,41.884576,-87.631889,36,36,36,35,35,36,36,36,36,36,37,37,37,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38,38,38,38,38,37,37,37,36,37,37,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,"Mon Oct  4 10:10:00 2021    36
Name: Clark St & Randolph St, dtype: int64","Mon Oct  4 10:11:05 2021    35
Name: Clark St & Randolph St, dtype: int64","Mon Oct  4 10:12:09 2021    36
Name: Clark St & Randolph St, dtype: int64","Mon Oct  4 10:13:13 2021    36
Name: Clark St & Randolph St, dtype: int64","Mon Oct  4 10:14:19 2021    36
Name: Clark St & Randolph St, dtype: int64","Mon Oct  4 10:15:24 2021    36
Name: Clark St & Randolph St, dtype: int64","Mon Oct  4 10:16:30 2021    37
Name: Clark St & Randolph St, dtype: int64"
Michigan Ave & Lake St,41.886024,-87.624117,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,"Mon Oct  4 10:10:00 2021    21
Name: Michigan Ave & Lake St, dtype: int64","Mon Oct  4 10:11:05 2021    21
Name: Michigan Ave & Lake St, dtype: int64","Mon Oct  4 10:12:09 2021    21
Name: Michigan Ave & Lake St, dtype: int64","Mon Oct  4 10:13:13 2021    21
Name: Michigan Ave & Lake St, dtype: int64","Mon Oct  4 10:14:19 2021    21
Name: Michigan Ave & Lake St, dtype: int64","Mon Oct  4 10:15:24 2021    21
Name: Michigan Ave & Lake St, dtype: int64","Mon Oct  4 10:16:30 2021    21
Name: Michigan Ave & Lake St, dtype: int64"
Wells St & Huron St,41.894722,-87.634362,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: Wells St & Huron St, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: Wells St & Huron St, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: Wells St & Huron St, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: Wells St & Huron St, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Wells St & Huron St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Wells St & Huron St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Wells St & Huron St, dtype: int64"
Ogden Ave & Chicago Ave,41.896362,-87.654061,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,"Mon Oct  4 10:10:00 2021    12
Name: Ogden Ave & Chicago Ave, dtype: int64","Mon Oct  4 10:11:05 2021    12
Name: Ogden Ave & Chicago Ave, dtype: int64","Mon Oct  4 10:12:09 2021    12
Name: Ogden Ave & Chicago Ave, dtype: int64","Mon Oct  4 10:13:13 2021    12
Name: Ogden Ave & Chicago Ave, dtype: int64","Mon Oct  4 10:14:19 2021    12
Name: Ogden Ave & Chicago Ave, dtype: int64","Mon Oct  4 10:15:24 2021    12
Name: Ogden Ave & Chicago Ave, dtype: int64","Mon Oct  4 10:16:30 2021    12
Name: Ogden Ave & Chicago Ave, dtype: int64"
Halsted St & Roosevelt Rd,41.867324,-87.648625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Halsted St & Roosevelt Rd, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Halsted St & Roosevelt Rd, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Halsted St & Roosevelt Rd, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Halsted St & Roosevelt Rd, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Halsted St & Roosevelt Rd, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Halsted St & Roosevelt Rd, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Halsted St & Roosevelt Rd, dtype: int64"
